timestamp,testname,minutesPerTest,repeatTestCount,telemetryInApp,orderOfMagnitude.name,orderOfMagnitude.value,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,baseURL,concurrentUsers,agreementId,currentIteration,telemetryStatus,cpu_usage,memory_usage,memory_limit
2024-09-06T13:11:37.450Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,22553753381,202469376,4194304000
2024-09-06T13:11:38.452Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,22668954183,209727488,4194304000
2024-09-06T13:11:39.455Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,23720460669,204316672,4194304000
2024-09-06T13:11:40.459Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,24112059721,203206656,4194304000
2024-09-06T13:11:41.461Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,24257347409,208338944,4194304000
2024-09-06T13:11:42.463Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,24898583606,193753088,4194304000
2024-09-06T13:11:43.465Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,25298621719,200421376,4194304000
2024-09-06T13:11:44.468Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,25897049584,210092032,4194304000
2024-09-06T13:11:45.470Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,26943607214,205344768,4194304000
2024-09-06T13:11:46.474Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,27300414569,206643200,4194304000
2024-09-06T13:11:47.477Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,27455444571,208715776,4194304000
2024-09-06T13:11:48.479Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,28479971538,208883712,4194304000
timestamp,testname,minutesPerTest,repeatTestCount,telemetryInApp,orderOfMagnitude.name,orderOfMagnitude.value,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,baseURL,concurrentUsers,agreementId,currentIteration,telemetryStatus,cpu_usage,memory_usage,memory_limit
2024-09-06T13:12:05.997Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,4541070579,119734272,4194304000
2024-09-06T13:12:07.002Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,5375273854,141488128,4194304000
2024-09-06T13:12:08.004Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,5446046603,141651968,4194304000
2024-09-06T13:12:09.008Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,6470320045,174542848,4194304000
2024-09-06T13:12:10.011Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,7549226160,166604800,4194304000
2024-09-06T13:12:11.013Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,8286520490,142405632,4194304000
2024-09-06T13:12:12.016Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,8308781035,142299136,4194304000
2024-09-06T13:12:13.019Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,9273325309,161751040,4194304000
2024-09-06T13:12:14.021Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,9996828835,179642368,4194304000
2024-09-06T13:12:15.023Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,10019243374,179761152,4194304000
2024-09-06T13:12:16.025Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,10965519652,196509696,4194304000
2024-09-06T13:12:17.030Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,11433112010,239075328,4194304000
2024-09-06T13:12:18.032Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,3,UNKNOWN,11485924078,246968320,4194304000
