testname,baseURL,repeatTestCount,minutesPerTest,concurrentUsers,agreementId,telemetryInApp,orderOfMagnitude.value,orderOfMagnitude.name,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,currentIteration,telemetryStatus,timestamp,cpu_usage,memory_usage,memory_limit
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:15.834Z,8808007475,148008960,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:16.838Z,8808165255,147881984,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:17.840Z,8857286539,149061632,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:18.844Z,9449200600,160157696,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:19.848Z,9714528624,159768576,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:20.851Z,9774486307,159916032,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:21.854Z,10698658595,153251840,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:22.858Z,10706991606,153075712,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:23.860Z,10824065652,152195072,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:24.864Z,11623893521,159576064,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:25.868Z,11624077210,159576064,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:26.871Z,11709750185,165355520,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:27.875Z,12590994883,157863936,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:28.879Z,12591311736,157741056,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:29.880Z,12714637293,153968640,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,2024-09-04T20:46:30.885Z,13285386168,163733504,4194304000
